model,mode,degradation_pct,label,class_name,precision,recall,f1
baseline,zero,75,6,Nsis-ay,0.5606,0.9720,0.7110
baseline,zero,75,7,Cridex,1.0000,0.7800,0.8764
baseline,zero,75,8,Zeus,0.5829,0.8860,0.7032
baseline,zero,75,9,Miuref,0.8633,0.7580,0.8072
baseline,zero,75,10,MySQL,1.0000,1.0000,1.0000
baseline,zero,75,11,Virut,0.7258,0.5560,0.6297
baseline,zero,75,12,Weibo,0.9940,1.0000,0.9970
baseline,zero,75,13,WorldOfWarcraft,1.0000,1.0000,1.0000
baseline,zero,75,14,Outlook,0.9980,1.0000,0.9990
baseline,zero,75,15,Facetime,0.9980,1.0000,0.9990
baseline,zero,75,16,Tinba,0.9980,0.9940,0.9960
baseline,zero,75,17,FTP,0.9980,1.0000,0.9990
baseline,zero,75,18,Htbot,0.8916,0.5760,0.6999
baseline,zero,75,19,Skype,1.0000,1.0000,1.0000
baseline,zero,100,0,Shifu,0.9921,1.0000,0.9960
baseline,zero,100,1,Geodo,0.9967,0.6100,0.7568
baseline,zero,100,2,BitTorrent,0.9671,1.0000,0.9833
baseline,zero,100,3,Gmail,0.9980,1.0000,0.9990
baseline,zero,100,4,Neris,0.6649,0.7700,0.7136
baseline,zero,100,5,SMB,1.0000,0.9200,0.9583
baseline,zero,100,6,Nsis-ay,0.4510,0.9580,0.6133
baseline,zero,100,7,Cridex,1.0000,0.6460,0.7849
baseline,zero,100,8,Zeus,0.5768,0.8640,0.6918
baseline,zero,100,9,Miuref,0.8578,0.7600,0.8059
baseline,zero,100,10,MySQL,1.0000,1.0000,1.0000
baseline,zero,100,11,Virut,0.7435,0.4580,0.5668
baseline,zero,100,12,Weibo,0.9579,1.0000,0.9785
baseline,zero,100,13,WorldOfWarcraft,1.0000,1.0000,1.0000
baseline,zero,100,14,Outlook,0.9980,1.0000,0.9990
baseline,zero,100,15,Facetime,0.9881,1.0000,0.9940
baseline,zero,100,16,Tinba,1.0000,0.9940,0.9970
baseline,zero,100,17,FTP,0.9940,1.0000,0.9970
baseline,zero,100,18,Htbot,0.9589,0.4200,0.5841
baseline,zero,100,19,Skype,1.0000,1.0000,1.0000
ours_p50,mask,0,0,Shifu,0.9980,1.0000,0.9990
ours_p50,mask,0,1,Geodo,0.8806,0.9880,0.9312
ours_p50,mask,0,2,BitTorrent,1.0000,1.0000,1.0000
ours_p50,mask,0,3,Gmail,1.0000,1.0000,1.0000
ours_p50,mask,0,4,Neris,0.8891,0.8660,0.8774
ours_p50,mask,0,5,SMB,1.0000,1.0000,1.0000
ours_p50,mask,0,6,Nsis-ay,0.9880,0.9840,0.9860
ours_p50,mask,0,7,Cridex,0.9978,0.8940,0.9430
ours_p50,mask,0,8,Zeus,0.9980,0.9920,0.9950
ours_p50,mask,0,9,Miuref,0.8876,0.8840,0.8858
ours_p50,mask,0,10,MySQL,1.0000,1.0000,1.0000
ours_p50,mask,0,11,Virut,0.8142,0.8500,0.8317
ours_p50,mask,0,12,Weibo,1.0000,1.0000,1.0000
ours_p50,mask,0,13,WorldOfWarcraft,1.0000,1.0000,1.0000
ours_p50,mask,0,14,Outlook,1.0000,1.0000,1.0000
ours_p50,mask,0,15,Facetime,1.0000,1.0000,1.0000
ours_p50,mask,0,16,Tinba,1.0000,0.9940,0.9970
ours_p50,mask,0,17,FTP,1.0000,1.0000,1.0000
ours_p50,mask,0,18,Htbot,0.9267,0.9100,0.9183
ours_p50,mask,0,19,Skype,1.0000,1.0000,1.0000
ours_p50,mask,25,0,Shifu,0.9940,0.9880,0.9910
ours_p50,mask,25,1,Geodo,0.9742,0.6040,0.7457
ours_p50,mask,25,2,BitTorrent,1.0000,0.9840,0.9919
ours_p50,mask,25,3,Gmail,1.0000,1.0000,1.0000
ours_p50,mask,25,4,Neris,0.8602,0.8000,0.8290
ours_p50,mask,25,5,SMB,0.9765,0.9980,0.9871
ours_p50,mask,25,6,Nsis-ay,0.8996,0.9680,0.9326
ours_p50,mask,25,7,Cridex,0.9889,0.8940,0.9391
ours_p50,mask,25,8,Zeus,0.5953,0.9560,0.7337
ours_p50,mask,25,9,Miuref,0.8555,0.7460,0.7970
ours_p50,mask,25,10,MySQL,0.9980,0.9800,0.9889
ours_p50,mask,25,11,Virut,0.7189,0.7520,0.7351
ours_p50,mask,25,12,Weibo,1.0000,0.9980,0.9990
ours_p50,mask,25,13,WorldOfWarcraft,0.9901,1.0000,0.9950
ours_p50,mask,25,14,Outlook,0.9980,1.0000,0.9990
ours_p50,mask,25,15,Facetime,1.0000,0.9440,0.9712
ours_p50,mask,25,16,Tinba,1.0000,0.9940,0.9970
ours_p50,mask,25,17,FTP,1.0000,0.9940,0.9970
ours_p50,mask,25,18,Htbot,0.7515,0.7680,0.7596
ours_p50,mask,25,19,Skype,1.0000,1.0000,1.0000
ours_p50,mask,50,0,Shifu,0.9168,0.9040,0.9104
ours_p50,mask,50,1,Geodo,0.9450,0.5500,0.6953
ours_p50,mask,50,2,BitTorrent,0.9955,0.4380,0.6083
ours_p50,mask,50,3,Gmail,0.9866,0.7360,0.8431
ours_p50,mask,50,4,Neris,0.8405,0.7060,0.7674
